text,label
Here are the slides from today's presentation as promised. Feel free to share with your team.,legitimate
Your order #23875 has shipped and is expected to arrive in 3-5 business days. Track it at https://github.com/company/project.,legitimate
Action required: Your email storage is full. Click http://microsoft365-reverify.support to upgrade your account for free.,phishing
Welcome to the team! Here's some information to help you get started in your first week.,legitimate
Your tax refund of $850 is ready. Submit your bank details at http://account-update-bank.net/verify to receive payment.,phishing
We appreciate your feedback and will use it to improve our service going forward.,legitimate
You have a new voicemail message. Click http://netflix-billing-update.co to listen now using your email login.,phishing
Our office will be closed on Monday for the public holiday. Normal operations resume Tuesday.,legitimate
We appreciate your feedback and will use it to improve our service going forward.,legitimate
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
"Claim your inheritance of $2,000,000 by providing your bank details at http://192.168.45.22/login.php.",phishing
Your package could not be delivered. Pay a small fee at http://tinyurl.com/freegift123 to reschedule delivery.,phishing
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
We need you to confirm your billing details at http://tinyurl.com/freegift123 or your subscription will be cancelled.,phishing
"Dear employee, please review and sign this urgent document at http://account-update-bank.net/verify before end of day.",phishing
"Claim your inheritance of $2,000,000 by providing your bank details at http://bit.ly/3xJkLm9.",phishing
We need you to confirm your billing details at http://apple-id-locked-support.com or your subscription will be cancelled.,phishing
Final Notice: Your account access will be terminated. Verify now at http://netflix-billing-update.co to prevent suspension.,phishing
Looking forward to catching up this weekend! Let me know what time works for you.,legitimate
"Hi team, please find attached the minutes from yesterday's meeting. Let me know if I missed anything.",legitimate
Congratulations on completing the course! Your certificate is attached to this email.,legitimate
"Hey, are we still on for lunch tomorrow at 1pm? Let me know if that works for you.",legitimate
Thanks for attending the webinar today. The recording is available at https://www.dropbox.com/shared/abc123 on our official site.,legitimate
Thanks for attending the webinar today. The recording is available at https://www.dropbox.com/shared/abc123 on our official site.,legitimate
Your tax refund of $850 is ready. Submit your bank details at http://secure-paypal-verification.com/login to receive payment.,phishing
Your package could not be delivered. Pay a small fee at http://account-update-bank.net/verify to reschedule delivery.,phishing
"Your social security number has been suspended due to suspicious activity, call us or visit http://apple-id-locked-support.com.",phishing
Just a friendly reminder that your appointment is scheduled for next Tuesday at 10am.,legitimate
Reminder: The quarterly report is due this Friday. Please submit your section by end of day Thursday.,legitimate
"Here's the agenda for tomorrow's stand-up meeting, see you all at 9am.",legitimate
Final Notice: Your account access will be terminated. Verify now at http://microsoft365-reverify.support to prevent suspension.,phishing
"Dear employee, please review and sign this urgent document at http://secure-paypal-verification.com/login before end of day.",phishing
Here are the slides from today's presentation as promised. Feel free to share with your team.,legitimate
Action required: Your email storage is full. Click http://apple-id-locked-support.com to upgrade your account for free.,phishing
"Hi, this is IT support. We need your password to fix an urgent security issue. Reply or visit http://192.168.45.22/login.php.",phishing
We detected unusual activity on your PayPal account. Verify your information at http://tinyurl.com/freegift123 to restore access.,phishing
Welcome to the team! Here's some information to help you get started in your first week.,legitimate
